"v1" "v2" "s1" "s2" "c1" "c2"
-0.74 -1.2 0.05 -1.75 -1.02 0.2
3.16 1.73 -1.64 0.75 0.34 -1.46
-0.05 -0.97 -3.1 -0.64 1.71 0.12
1.49 -0.87 -0.75 0.92 -0.75 0.28
0.44 -0.89 -0.21 0.27 0.4 0.48
0.11 -0.53 0.84 0.78 2.85 1.82
-0.51 -2.62 -1.77 0.04 1.58 -0.21
-0.51 2.81 -0.19 1.37 0.2 1.44
0.46 1.5 0 2.29 0.16 0.05
1.08 1.43 1.12 -0.74 -0.84 1
-0.2 -1.08 -0.96 -1.01 -0.23 0.58
-1.44 -0.94 -1.92 -0.99 1.97 -0.48
-2.36 -2.54 -1.11 -1.31 1.33 -1.44
-3.34 -2.62 -0.54 0.04 2.69 2.07
-0.39 -0.97 -2.22 -1.31 0.1 -0.37
3.38 0.72 0.15 -0.18 1.17 0.88
-0.5 0.77 -0.73 2.12 0.56 0.3
1.17 0.02 1.1 -0.6 0.21 0.61
0.23 -0.18 0.63 0.51 0.1 0.35
0.75 -0.59 0.28 -1 1.21 2.04
-0.47 0.19 -1.18 0.67 2.05 -0.27
0.11 2.24 -1.87 1.62 -0.04 -0.32
-0.27 1.49 0.4 0.42 -0.98 0.34
2.17 -0.78 3.28 1.83 1.63 1.08
1.22 -4.98 -2.57 -1.01 -0.35 0.53
0.64 0.97 1.39 1.79 -0.92 -3.24
0.3 0.6 0.65 -0.89 -1.53 0.03
-0.08 0.93 -0.94 -0.98 1.77 -0.48
0.23 -0.46 -0.51 -0.65 -0.86 0.54
0.28 0.08 1.28 1.81 -1.94 -1.71
-0.05 0.54 -0.13 -0.73 -0.18 -0.11
2.17 0.41 -0.17 -0.38 2.12 0.13
0.8 1.06 1.68 1.06 -1.13 -1.38
2.13 1.64 1.24 0.01 -1.12 -1.06
-0.78 -0.7 1.21 -1.32 1.07 -0.49
0.72 -1.29 0 -0.86 1 0.3
-0.6 0.08 -0.09 -1.1 2.42 -1.02
0.66 1.55 1.58 1.29 2.01 1.47
-0.75 -0.79 -2.4 -0.69 0.78 0.01
0.2 1.2 1.14 -0.88 -1.91 0.9
1.78 0.02 0.5 2.86 0.84 0.52
0.39 1.16 0.42 0.32 0.56 0.78
0.69 -0.85 0.82 0.71 1.9 0.31
-1.54 -2.55 0.55 1.35 -0.16 -0.48
2.19 -0.77 0.35 -1.94 1.4 0.8
1.39 0.08 -0.47 -0.15 0.62 0.36
-0.84 -0.49 2 -0.2 2.66 0.79
-0.36 -1.33 1.21 0.46 -0.43 0.79
-0.1 1.07 -1.34 -0.78 3.76 1.58
1.9 1.56 -0.28 -1.74 -0.05 0.72
-0.02 -0.41 -0.53 1.61 -0.96 0.4
1.61 1 0.01 -0.34 -1.43 -1.14
0.45 -2.1 -2.87 -0.98 0.19 -1.35
-0.84 -0.72 0.8 1.28 -1.29 -1.11
0.23 -0.95 0.06 0.83 -1.22 0.04
-0.15 1.17 1.04 5.21 -0.13 0.02
0.56 -2.05 0.02 -0.82 -1.45 0.39
-1.23 -1.01 -0.78 -1.57 -1.6 -1.24
-1.57 -0.18 -0.62 -0.96 0.72 0.41
1.94 1.04 1.2 1.71 0.35 1.28
-1.38 1.58 0.98 -0.3 0.64 0.89
-1.27 -2.1 2.12 1.86 0.64 0.37
1.77 0.35 0.93 -0.35 0.48 1.22
-1.11 -1.53 -0.43 1.58 0.32 0.08
0.54 1.7 -1.29 0.87 1.22 -1.68
0.34 2.82 0.85 0.45 1.04 -0.27
0.55 -1.77 -1.58 -2.23 0.58 -0.35
0.48 2.64 0.76 0.34 -0.2 -0.35
1.07 2.65 1.91 -1.06 -0.89 -1.9
0.62 1.38 -2.05 -0.5 -0.13 0.9
-1.02 1.18 -0.82 -0.99 -1.55 -1.11
1.34 -0.22 -1.18 0.02 0.15 0.23
-1.09 -0.11 -0.91 -0.15 1.28 -0.67
2.01 0.46 1.32 3.44 0.88 2.12
-0.51 1.23 -0.95 -0.17 0.61 0.56
0.9 -1.08 0.67 3.32 -0.17 -1.08
-0.07 0.79 -0.67 0.29 -1.63 0.11
0.33 -1.65 -0.05 -0.67 1.36 -0.61
-0.75 -1.21 -0.92 0.61 -1.02 0.98
-1.71 -3.67 -1.58 -2.25 2.08 1.56
2.1 2.91 -0.35 1.92 -0.55 -1.43
1.62 -0.34 -0.69 1.48 -2.79 -0.99
0.61 2.82 -1.14 -0.8 -0.41 2.32
-0.51 -0.36 -1.98 -0.39 -0.24 -1.23
0.13 -0.17 1.45 0.25 -0.88 -1.14
0.2 -2.38 -0.44 -1 -0.93 0.51
0.41 0.04 -1.41 0.3 0.65 2.15
-0.93 0.48 -0.62 1.16 -0.18 0.63
-1.05 -0.12 -2.04 -0.08 0.74 0.46
0.07 1.68 0.64 1.25 2.7 -0.61
1.63 0.15 0.11 1.1 -1.42 0.88
2.17 1.64 0.22 -0.1 0.38 0.69
-0.61 0.47 1.49 0.26 -0.35 1.3
2.03 1.19 -1.27 0.17 -1.81 -0.26
-0.51 3.31 0.49 -0.74 -0.51 0.82
0.72 -0.4 -0.92 0.61 -1.18 -0.39
-0.39 1.52 -1.75 -2.47 1.44 0.9
-1.16 -2.26 0.88 -0.65 -0.08 -0.39
-0.79 0.58 1.28 1.69 -0.6 -0.63
-2.03 0.37 -3.28 -1.87 2.17 -0.26
1.71 -0.14 1.89 0.22 1.58 1.59
-1.05 -1.38 -0.11 0.55 0.62 -0.26
0.94 0.93 -1.24 1.46 0.59 -1.67
1.75 0.62 2.31 -0.91 -1.87 -1.99
-1.96 -0.04 -2.14 -0.92 -0.75 -2.91
0.63 -1.04 -0.47 -0.85 0.29 0.24
-0.23 -3.08 -0.59 -1.07 -0.28 1.37
-0.53 -2.43 -0.13 0.85 -0.78 0.23
-1.57 -2.2 0.35 -0.52 1.68 1.21
1.32 -0.14 1.45 1.18 -1.99 0.09
0.94 0.82 -1.18 0.44 1.18 1.19
2.47 0.76 -0.41 -0.35 -1.16 -1.99
-0.05 0.16 0.33 1.45 -1.27 0.87
-0.68 -1.01 -0.69 0.79 1.7 0.96
-1.72 -2.07 -1.84 -1.85 -0.89 -2.11
-0.02 1.3 -0.5 2.02 -0.04 2.21
0.24 -0.39 -1.78 -1.26 0.95 0.53
